0
ID
Age
Flight Distance
Departure Delay
Arrival Delay
Departure and Arrival Time Convenience
Ease of Online Booking
Check-in Service
Online Boarding
Gate Location
On-board Service
Seat Comfort
Leg Room Service
Cleanliness
Food and Drink
In-flight Service
In-flight Wifi Service
In-flight Entertainment
Baggage Handling
Gender_Female
Gender_Male
Customer Type_First-time
Customer Type_Returning
Type of Travel_Business
Type of Travel_Personal
Class_Business
Class_Economy
Class_Economy Plus
